D1     D2    t  X1  X2
0.53233 0.16849 0.16016 0 0
0.5313 0.19276 0.16116 0 0
0.52217 0.21715 0.16216 0 0
0.50529 0.24115 0.16316 0 0
0.48165 0.26426 0.16416 0 0
0.45279 0.28607 0.16517 0 0
0.42079 0.30619 0.16617 0 0
0.38802 0.32424 0.16717 0 0
0.357 0.33993 0.16817 0 0
0.33014 0.35296 0.16917 0 0
0.30953 0.3631 0.17017 0 0
0.29673 0.37017 0.17117 0 0
0.29259 0.3741 0.17217 0 0
0.29721 0.37495 0.17317 0 0
0.30989 0.37292 0.17417 0 0
0.32922 0.36844 0.17518 0 0
0.35324 0.3621 0.17618 0 0
0.37961 0.35472 0.17718 0 0
0.4059 0.34727 0.17818 0 0
0.42978 0.3408 0.17918 0 0
0.44928 0.33642 0.18018 0 0
0.46296 0.33511 0.18118 0 0
0.47003 0.33768 0.18218 0 0
0.47037 0.34463 0.18318 0 0
0.4645 0.35609 0.18418 0 0
0.45345 0.37176 0.18519 0 0
0.4386 0.39088 0.18619 0 0
0.4215 0.41235 0.18719 0 0
0.40366 0.43474 0.18819 0 0
0.38635 0.45646 0.18919 0 0
0.37052 0.47595 0.19019 0 0
0.35666 0.4918 0.19119 0 0
0.34486 0.50296 0.19219 0 0
0.33485 0.50887 0.19319 0 0
0.3261 0.50952 0.19419 0 0
0.31797 0.5055 0.1952 0 0
0.3099 0.49795 0.1962 0 0
0.30155 0.48842 0.1972 0 0
0.29289 0.47874 0.1982 0 0
0.28431 0.47077 0.1992 0 0
0.27659 0.46622 0.2002 0 0
0.27083 0.46638 0.2012 0 0
0.26837 0.47198 0.2022 0 0
0.27059 0.48307 0.2032 0 0
0.27874 0.49895 0.2042 0 0
0.29375 0.51827 0.20521 0 0
0.31609 0.5391 0.20621 0 0
0.3456 0.55916 0.20721 0 0
0.38152 0.57606 0.20821 0 0
0.42242 0.58755 0.20921 0 0
0.46631 0.59178 0.21021 0 0
0.51079 0.58754 0.21121 0 0
0.55321 0.57435 0.21221 0 0
0.5909 0.55261 0.21321 0 0
0.62136 0.52348 0.21421 0 0
0.64245 0.48884 0.21522 0 0
0.65261 0.45107 0.21622 0 0
0.65088 0.41282 0.21722 0 0
0.63706 0.37669 0.21822 0 0
0.61162 0.34505 0.21922 0 0
0.57573 0.31972 0.22022 0 0
0.53111 0.30186 0.22122 0 0
0.47991 0.29185 0.22222 0 0
0.42462 0.28928 0.22322 0 0
0.36784 0.29303 0.22422 0 0
0.31219 0.3014 0.22523 0 0
0.26015 0.31236 0.22623 0 0
0.21395 0.32371 0.22723 0 0
0.17551 0.33339 0.22823 0 0
0.14628 0.33964 0.22923 0 0
0.12731 0.34117 0.23023 0 0
0.1191 0.3373 0.23123 0 0
0.12166 0.32795 0.23223 0 0
0.13448 0.31365 0.23323 0 0
0.15656 0.29543 0.23423 0 0
0.18644 0.27468 0.23524 0 0
0.22228 0.25299 0.23624 0 0
0.26193 0.23201 0.23724 0 0
0.30303 0.21324 0.23824 0 0
0.34317 0.19792 0.23924 0 0
0.38 0.18695 0.24024 0 0
0.4114 0.18079 0.24124 0 0
0.43562 0.1795 0.24224 0 0
0.45142 0.18276 0.24324 0 0
0.45812 0.18987 0.24424 0 0
0.45575 0.19993 0.24525 0 0
0.44496 0.21183 0.24625 0 0
0.42705 0.2244 0.24725 0 0
0.40384 0.23649 0.24825 0 0
0.37753 0.24704 0.24925 0 0
0.35054 0.25512 0.25025 0 0
0.32528 0.25999 0.25125 0 0
0.30399 0.26115 0.25225 0 0
0.28854 0.25835 0.25325 0 0
0.28028 0.25159 0.25425 0 0
0.27995 0.24114 0.25526 0 0
0.28764 0.22749 0.25626 0 0
0.30279 0.21142 0.25726 0 0
0.32429 0.19384 0.25826 0 0
0.35059 0.17584 0.25926 0 0
0.37984 0.1586 0.26026 0 0
0.41008 0.14328 0.26126 0 0
0.43939 0.13098 0.26226 0 0
0.46606 0.12262 0.26326 0 0
0.48868 0.11889 0.26426 0 0
0.50624 0.12017 0.26527 0 0
0.51813 0.12647 0.26627 0 0
0.52415 0.13747 0.26727 0 0
0.52445 0.15249 0.26827 0 0
0.51942 0.17059 0.26927 0 0
0.50965 0.19065 0.27027 0 0
0.49579 0.21146 0.27127 0 0
0.4785 0.23188 0.27227 0 0
0.45836 0.25095 0.27327 0 0
0.43588 0.26797 0.27427 0 0
0.4115 0.28262 0.27528 0 0
0.38557 0.29496 0.27628 0 0
0.35844 0.30543 0.27728 0 0
0.33053 0.31477 0.27828 0 0
0.30235 0.32398 0.27928 0 0
0.27456 0.33414 0.28028 0 0
0.24799 0.3463 0.28128 0 0
0.22362 0.36132 0.28228 0 0
0.20257 0.3798 0.28328 0 0
0.18601 0.40197 0.28428 0 0
0.17504 0.42763 0.28529 0 0
0.17064 0.45622 0.28629 0 0
0.17351 0.4868 0.28729 0 0
0.18398 0.51821 0.28829 0 0
0.20197 0.54914 0.28929 0 0
0.22687 0.57828 0.29029 0 0
0.25763 0.60442 0.29129 0 0
0.29274 0.62657 0.29229 0 0
0.33033 0.64402 0.29329 0 0
0.3683 0.65635 0.29429 0 0
0.40451 0.66343 0.2953 0 0
0.43689 0.66538 0.2963 0 0
0.46368 0.66249 0.2973 0 0
0.48354 0.65514 0.2983 0 0
0.49573 0.64373 0.2993 0 0
0.50014 0.62861 0.3003 0 0
0.49739 0.61005 0.3013 0 0
0.48878 0.58825 0.3023 0 0
0.4762 0.56335 0.3033 0 0
0.46202 0.5355 0.3043 0 0
0.44887 0.50489 0.30531 0 0
0.43947 0.47189 0.30631 0 0
0.43638 0.43703 0.30731 0 0
0.44178 0.40109 0.30831 0 0
0.45725 0.36504 0.30931 0 0
0.48363 0.33003 0.31031 0 0
0.5209 0.29729 0.31131 0 0
0.56816 0.26805 0.31231 0 0
0.62364 0.24337 0.31331 0 0
0.68482 0.22404 0.31431 0 0
0.74859 0.21049 0.31532 0 0
0.81149 0.2027 0.31632 0 0
0.86996 0.20021 0.31732 0 0
0.92059 0.20215 0.31832 0 0
0.96042 0.20732 0.31932 0 0
0.98715 0.21434 0.32032 1 0
0.9993 0.22179 0.32132 0 0
0.99636 0.22845 0.32232 0 0
0.97879 0.23336 0.32332 0 0
0.94798 0.23603 0.32432 0 0
0.90616 0.23647 0.32533 0 0
